DateTime,Feed,Poo,Wee,Vomit
2022-07-30 13:00:00,True,True,True,False
2022-07-30 17:00:00,True,False,True,False
2022-07-30 19:45:00,True,False,True,False
2022-07-30 22:20:00,True,True,False,False
2022-07-31 01:25:00,True,True,True,False
2022-07-31 05:30:00,True,False,True,False
2022-07-31 09:45:00,True,False,True,False
2022-07-31 14:00:00,True,False,True,False
2022-07-31 18:30:00,True,False,True,False
2022-07-31 22:05:00,True,False,True,False
2022-08-01 02:25:00,True,False,True,False
2022-08-01 08:10:00,True,False,True,False
2022-08-01 12:20:00,True,False,True,False
2022-08-01 14:50:00,True,False,False,False
2022-08-01 18:10:00,True,False,True,False
2022-08-01 22:20:00,True,False,True,False
2022-08-02 00:40:00,True,False,True,False
2022-08-02 05:40:00,True,False,False,False
2022-08-02 10:00:00,True,False,True,False
2022-08-02 14:05:00,True,False,True,False
2022-08-02 17:25:00,True,True,True,False
2022-08-02 20:00:00,True,True,False,False
2022-08-02 22:30:00,True,False,False,False
2022-08-03 02:40:00,True,True,True,False
2022-08-03 05:45:00,True,False,True,False
2022-08-03 09:20:00,True,False,True,False
2022-08-03 12:15:00,True,True,False,False
2022-08-03 14:45:00,True,False,True,False
2022-08-03 18:45:00,True,False,True,False
2022-08-03 22:30:00,True,False,False,False
2022-08-04 01:50:00,True,False,True,False
2022-08-04 05:50:00,True,False,True,False
2022-08-04 10:00:00,True,False,True,False
2022-08-04 13:40:00,True,False,True,False
2022-08-04 17:40:00,True,False,True,False
2022-08-04 20:55:00,True,True,False,False
2022-08-05 01:15:00,True,False,True,False
2022-08-05 05:00:00,True,True,True,False
2022-08-05 09:15:00,True,False,True,False
2022-08-05 12:20:00,True,False,True,False
2022-08-05 15:50:00,True,False,True,False
2022-08-05 18:00:00,True,True,False,False
2022-08-05 21:10:00,True,False,True,False
2022-08-06 00:00:00,True,False,True,False
2022-08-06 03:40:00,True,True,True,False
2022-08-06 08:15:00,True,False,False,False
2022-08-06 12:20:00,True,False,True,False
2022-08-06 15:20:00,True,False,True,False
2022-08-06 19:20:00,True,False,True,False
2022-08-06 22:40:00,True,False,True,False
2022-08-07 03:15:00,True,False,True,False
2022-08-07 07:55:00,True,False,True,False
2022-08-07 11:35:00,True,False,True,False
2022-08-07 15:40:00,True,True,True,False
2022-08-07 19:00:00,True,False,True,False
2022-08-08 00:15:00,True,False,True,False
2022-08-08 04:25:00,True,False,True,False
2022-08-08 08:45:00,True,False,True,False
2022-08-08 12:30:00,True,False,False,False
2022-08-08 16:35:00,True,False,True,False
2022-08-08 20:35:00,True,False,True,False
2022-08-09 01:35:00,True,True,True,False
2022-08-09 05:50:00,True,False,True,False
2022-08-09 10:00:00,True,False,True,False
2022-08-09 13:05:00,True,False,True,False
2022-08-09 16:35:00,True,False,True,False
2022-08-09 19:50:00,True,False,True,False
2022-08-09 22:45:00,True,False,True,False
2022-08-10 03:20:00,True,False,True,False
2022-08-10 07:35:00,True,True,True,False
2022-08-10 10:20:00,True,False,False,False
2022-08-10 13:20:00,True,False,True,False
2022-08-10 17:25:00,True,False,True,False
2022-08-10 20:55:00,True,False,True,False
2022-08-11 01:00:00,True,False,True,True
2022-08-11 05:55:00,True,False,True,False
2022-08-11 10:05:00,True,False,True,False
2022-08-11 14:15:00,True,False,True,False
2022-08-11 17:15:00,True,True,True,False
2022-08-11 21:00:00,True,False,True,False
2022-08-12 02:45:00,True,False,True,False
2022-08-12 07:10:00,True,False,True,False
2022-08-12 11:15:00,True,True,True,False
2022-08-12 14:55:00,True,False,True,False
2022-08-12 18:55:00,True,False,True,False
2022-08-12 23:05:00,True,False,True,False
2022-08-13 03:15:00,True,False,True,False
2022-08-13 07:55:00,True,False,True,False
2022-08-13 12:05:00,True,True,True,False
2022-08-13 14:40:00,True,False,True,False
2022-08-13 17:05:00,True,False,True,False
2022-08-13 19:45:00,True,False,True,False
2022-08-14 01:00:00,True,False,True,False
2022-08-14 05:15:00,True,False,True,False
2022-08-14 08:45:00,True,False,True,False
2022-08-14 12:20:00,True,False,True,False
2022-08-14 15:35:00,True,False,True,False
2022-08-14 19:30:00,True,False,True,False
2022-08-15 00:00:00,True,True,True,False
2022-08-15 05:15:00,True,False,True,False
2022-08-15 08:20:00,True,False,True,False
2022-08-15 12:25:00,True,False,True,False
2022-08-15 15:45:00,True,False,True,False
2022-08-15 18:40:00,True,False,True,False
2022-08-15 22:40:00,True,False,True,False
2023-08-16 03:45:00,True,False,True,False
2023-08-16 08:00:00,True,False,True,False
2023-08-16 11:30:00,True,True,True,False
2023-08-16 15:10:00,True,False,True,False
2023-08-16 18:30:00,True,False,True,False
2023-08-16 21:20:00,True,False,True,False
2022-08-17 01:35:00,True,False,True,False
2022-08-17 06:40:00,True,False,True,False
2022-08-17 09:15:00,True,False,True,False
2022-08-17 12:40:00,True,True,True,False
2022-08-17 15:30:00,True,False,True,False
2022-08-17 18:50:00,True,False,True,False
2022-08-17 21:30:00,True,False,True,False
2022-08-18 03:10:00,True,False,True,False
2022-08-18 07:30:00,True,False,True,False
2022-08-18 10:35:00,True,False,True,False
2022-08-18 13:55:00,True,False,True,False
2022-08-18 16:15:00,True,False,True,False
2022-08-18 20:00:00,True,True,True,False
2022-08-18 23:45:00,True,False,True,False
2022-08-19 03:15:00,True,False,True,False
2022-08-19 07:20:00,True,False,True,False
2022-08-19 10:30:00,True,False,True,False
2022-08-19 14:35:00,True,False,True,False
2022-08-19 17:10:00,True,False,True,False
2022-08-19 20:30:00,True,False,True,False
2022-08-20 01:00:00,True,False,True,False
2022-08-20 05:45:00,True,False,True,False
2022-08-20 09:35:00,True,False,True,False
